Year,Month,Carrier_Code,Airline,Airport_Code,Airport,Total_Flights,Delayed_Flights,Carrier_Delays,Weather_Delays,NAS_Delays,Security_Delays,Late_Aircraft_Delays,Cancelled_Flights,Diverted_Flights,Total_Delay_Minutes,Carrier_Delay_Minutes,Weather_Delay_Minutes,NAS_Delay_Minutes,Security_Delay_Minutes,Late_Aircraft_Delay_Minutes,On_Time_Flights,Delay_Percentage,Cancellation_Percentage,Average_Delay_Per_Flight,On_Time_Percentage,Delay_Severity
2019,12,OO,SkyWest Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",500.0,86.0,26.83,4.81,23.02,1.0,30.34,3.0,1.0,6631.0,3373.0,439.0,861.0,20.0,1938.0,414.0,17.2,0.6,77.1046511627907,82.8,Critical
2019,12,OO,SkyWest Airlines Inc.,ONT,"Ontario, CA: Ontario International",222.0,56.0,13.08,4.0,6.08,0.0,32.84,9.0,0.0,3825.0,1475.0,295.0,186.0,0.0,1869.0,166.0,25.225225225225223,4.054054054054054,68.30357142857143,74.77477477477478,Critical
2019,12,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5416.0,1214.0,233.58,36.45,399.91,2.3,541.76,129.0,3.0,120448.0,50933.0,8980.0,19243.0,41.0,41251.0,4202.0,22.41506646971935,2.3818316100443133,99.2158154859967,77.58493353028065,Critical
2019,12,OO,SkyWest Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",126.0,16.0,5.42,0.18,2.8,0.0,7.59,1.0,0.0,696.0,127.0,28.0,104.0,0.0,437.0,110.0,12.698412698412698,0.7936507936507936,43.5,87.3015873015873,High
2019,12,OO,SkyWest Airlines Inc.,ORH,"Worcester, MA: Worcester Regional",28.0,8.0,4.0,0.0,1.03,0.0,2.97,0.0,1.0,707.0,539.0,0.0,32.0,0.0,136.0,20.0,28.57142857142857,0.0,88.375,71.42857142857143,Critical
2019,12,OO,SkyWest Airlines Inc.,OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",26.0,9.0,1.84,0.0,0.32,0.0,6.84,4.0,1.0,892.0,198.0,0.0,9.0,0.0,685.0,17.0,34.61538461538461,15.384615384615385,99.11111111111111,65.38461538461539,Critical
2019,12,OO,SkyWest Airlines Inc.,PAE,"Everett, WA: Snohomish County",180.0,45.0,11.36,1.0,14.61,0.0,18.02,14.0,4.0,3551.0,1439.0,52.0,452.0,0.0,1608.0,135.0,25.0,7.777777777777778,78.91111111111111,75.0,Critical
2019,12,OO,SkyWest Airlines Inc.,PAH,"Paducah, KY: Barkley Regional",66.0,20.0,8.46,0.0,2.44,0.0,9.1,2.0,0.0,2696.0,2028.0,0.0,99.0,0.0,569.0,46.0,30.303030303030305,3.0303030303030303,134.8,69.6969696969697,Critical
2019,12,OO,SkyWest Airlines Inc.,PBG,"Plattsburgh, NY: Plattsburgh International",53.0,8.0,1.97,0.0,2.04,0.0,4.0,0.0,0.0,1536.0,1012.0,0.0,75.0,0.0,449.0,45.0,15.09433962264151,0.0,192.0,84.90566037735849,Critical
2019,12,OO,SkyWest Airlines Inc.,PDX,"Portland, OR: Portland International",939.0,118.0,29.32,3.27,39.48,0.0,45.92,1.0,1.0,5920.0,2008.0,396.0,1239.0,0.0,2277.0,821.0,12.566560170394037,0.10649627263045794,50.16949152542373,87.43343982960596,High
2019,12,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",21.0,3.0,0.91,0.0,0.32,0.0,1.77,0.0,0.0,97.0,49.0,0.0,11.0,0.0,37.0,18.0,14.285714285714285,0.0,32.333333333333336,85.71428571428571,High
2019,12,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1167.0,172.0,33.86,4.63,44.62,0.0,88.89,13.0,2.0,14029.0,4442.0,1138.0,1541.0,0.0,6908.0,995.0,14.738646101113966,1.113967437874893,81.56395348837209,85.26135389888603,Critical
2019,12,OO,SkyWest Airlines Inc.,PIA,"Peoria, IL: General Downing - Peoria International",107.0,16.0,7.97,0.0,4.03,0.0,4.0,0.0,0.0,1987.0,1569.0,0.0,103.0,0.0,315.0,91.0,14.953271028037381,0.0,124.1875,85.04672897196261,Critical
2019,12,OO,SkyWest Airlines Inc.,PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",56.0,16.0,3.89,1.0,3.14,0.0,7.97,0.0,1.0,940.0,130.0,127.0,160.0,0.0,523.0,40.0,28.57142857142857,0.0,58.75,71.42857142857143,High
2019,12,OO,SkyWest Airlines Inc.,PIH,"Pocatello, ID: Pocatello Regional",91.0,15.0,4.42,4.77,3.14,0.0,2.67,0.0,0.0,1832.0,216.0,1370.0,90.0,0.0,156.0,76.0,16.483516483516482,0.0,122.13333333333334,83.51648351648352,Critical
2019,12,OO,SkyWest Airlines Inc.,PIR,"Pierre, SD: Pierre Regional",59.0,12.0,7.59,0.0,2.0,0.0,2.41,4.0,0.0,1506.0,1254.0,0.0,33.0,0.0,219.0,47.0,20.33898305084746,6.779661016949152,125.5,79.66101694915254,Critical
2019,12,OO,SkyWest Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",149.0,28.0,9.49,0.21,7.65,0.0,10.65,1.0,2.0,1656.0,517.0,14.0,365.0,0.0,760.0,121.0,18.79194630872483,0.6711409395973155,59.142857142857146,81.20805369127517,High
2019,12,OO,SkyWest Airlines Inc.,PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",76.0,9.0,0.0,4.7,2.3,0.0,2.0,5.0,5.0,1721.0,0.0,957.0,570.0,0.0,194.0,67.0,11.842105263157894,6.578947368421052,191.22222222222223,88.1578947368421,Critical
2019,12,OO,SkyWest Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",44.0,8.0,3.0,0.28,2.8,0.0,1.93,1.0,0.0,332.0,100.0,8.0,56.0,0.0,168.0,36.0,18.181818181818183,2.272727272727273,41.5,81.81818181818183,High
